t-100,g-100,pp-100,h-100,t-v,g-v,pp-v,h-v
0.74,1.01,0.36,0.23,0.27,0.34,0.56,0.71
0.76,0.29,0.29,0.43,0.37,0.26,0.45,0.51
0.75,0.42,0.36,0.48,0.07,0.28,0.33,0.59
0.65,0.49,0.3,0.41,0.17,0.17,0.25,0.47
0.45,0.55,0.3,0.28,0.42,0.1,0.42,0.48
0.32,0.42,0.21,0.34,0.24,0.2,0.29,0.47
0.33,0.36,0.23,0.29,0.49,0.2,0.41,0.65
0.37,0.49,0.41,0.28,0.44,0.21,0.52,0.33
0.47,0.1,0.43,0.21,0.48,0.28,0.4,0.41
0.51,1.21,0.6,0.28,0.7,0.51,0.42,0.47
0.27,0.35,0.73,0.16,0.49,0.17,0.44,0.48
0.38,0.29,0.27,0.49,0.32,0.18,0.32,0.32
0.27,1.34,0.35,0.8,0.56,0.4,0.35,0.73
0.72,1.52,0.23,0.36,0.28,0.43,0.4,0.33
0.39,1.47,0.27,0.56,0.55,0.58,0.4,0.71
0.83,0.42,0.29,0.37,0.39,0.5,0.36,0.44
0.74,0.73,0.2,0.37,0.32,0.45,0.53,0.5
0.41,0.54,0.41,0.49,0.46,0.26,0.34,0.55
0.49,0.6,0.16,1.52,0.64,0.22,0.24,0.4
0.33,0.28,0.27,0.75,0.61,0.28,0.51,0.54
0.21,0.49,0.29,1.13,0.53,0.28,0.26,0.72
0.27,0.34,0.23,0.75,0.63,0.27,0.38,0.49
0.25,0.49,0.21,0.49,0.51,0.16,0.32,0.33
0.24,0.42,0.21,0.49,0.56,0.4,0.41,0.32
0.25,0.28,0.28,0.6,0.55,0.29,0.44,0.45
0.28,0.36,0.27,1.34,0.59,0.3,0.31,0.45
0.24,0.3,0.24,0.81,0.77,0.4,0.38,0.33
0.34,0.29,0.4,0.62,0.42,0.29,0.32,0.51
0.3,0.34,0.76,0.63,0.6,0.37,0.26,0.45
0.18,0.54,0.52,0.68,0.42,0.36,0.38,0.44
0.25,0.56,0.49,0.64,0.55,0.46,0.33,0.44
0.2,0.74,0.35,1.1,0.56,0.55,0.31,0.43
0.27,0.42,0.42,0.7,0.49,0.4,0.34,0.4
0.19,0.56,0.32,0.79,0.56,0.27,0.43,0.22
0.18,0.27,0.34,01.03,0.44,0.37,0.3,0.3
0.25,0.41,0.35,0.71,0.58,0.41,0.37,0.39
0.17,0.28,0.42,0.64,0.45,0.29,0.33,0.41
0.21,0.41,0.31,0.65,0.42,0.33,0.3,0.51
0.15,0.21,0.32,0.91,0.52,0.34,0.31,0.43
0.17,0.28,0.41,0.73,0.37,0.31,0.28,0.75
0.19,0.46,0.29,0.79,0.55,0.34,0.39,0.3
0.18,0.27,0.48,0.64,0.65,0.22,0.44,0.37
0.21,0.93,0.35,0.68,0.36,0.47,0.3,0.28
0.57,0.36,0.34,1.02,0.36,0.3,0.33,0.7
0.62,0.25,0.42,0.8,0.52,0.4,0.38,0.44
0.4,0.28,0.45,0.88,0.49,0.39,0.32,0.38
0.35,0.23,0.35,0.63,0.52,0.42,0.27,0.38
0.22,0.41,0.41,1.02,0.48,0.44,0.34,0.51
0.24,0.34,0.29,0.9,0.32,0.51,0.16,0.5
0.24,0.28,0.42,0.65,0.43,0.47,0.26,0.4
